CODE,METRO_STATION,METRO_LINE,CENTER,DISTRICT_CODE,DISTRICT_NAME,TYPE,FLOORS,ROOF_TYPE,N_of_RECEDING_FLOORS,N_of_FLOORS_SLOPE,NEW_BUILDING,DB_LOW,DB_HIGHT,PRICE_COMPLETE
268400,,,1,500054,Praha 1,,,,,,,50,55,N
271000,,,1,500054,Praha 1,,,,,,,35,40,N
266900,,,1,500054,Praha 1,,,,,,,35,40,N
266500,,,1,500054,Praha 1,,,,,,,35,40,N
267100,,,1,500054,Praha 1,,,,,,,40,45,15230
268100,,,1,500054,Praha 1,,,,,,,40,45,N
263700,,,1,500054,Praha 1,,,,,,,55,60,N
267200,,,1,500054,Praha 1,,,,,,,40,45,N
11301,,,0,500054,Praha 1,,,,,,,30,35,N
266600,,,1,500054,Praha 1,,,,,,,35,40,N
285800,Můstek,"A,B",1,500054,Praha 1,,,,,,,60,65,N
263800,,,1,500054,Praha 1,,,,,,,55,60,22120
264100,,,1,500054,Praha 1,,,,,,,55,60,25000
264300,Hradčanská,A,1,500054,Praha 1,,,,,,,60,65,22120
262100,,,1,500054,Praha 1,1,4,1,0,0,0,55,60,N
284300,Florenc,B,1,500054,Praha 1,1,4,1,0,0,0,55,60,48890
265500,Staroměstská,A,1,500054,Praha 1,1,1,1,0,1,0,55,60,N
270600,Můstek,"A,B",1,500054,Praha 1,1,6,3,1,0,0,45,50,41650
269213,Můstek,B,1,500054,Praha 1,1,4,1,1,0,0,25,30,N
284900,Můstek,"A,B",1,500054,Praha 1,1,2,1,0,0,0,0,5,48890
270319,Můstek,"A,B",1,500054,Praha 1,1,6,3,0,0,0,10,15,41650
264612,,,1,500054,Praha 1,1,3,1,0,0,0,30,35,N
264900,Staroměstská,A,1,500054,Praha 1,1,1,1,0,0,0,55,60,N
271500,Můstek,"A,B",1,500054,Praha 1,1,4,1,1,0,0,0,5,55810
271400,Malostranská,A,1,500054,Praha 1,1,2,1,0,0,0,30,35,N
388400,Karlovo náměstí,B,1,500054,Praha 1,1,6,1,0,0,0,55,60,37470
267400,,,1,500054,Praha 1,1,5,1,1,0,0,55,60,N
270500,Můstek,"A,B",1,500054,Praha 1,1,6,3,2,0,0,5,10,41650
270300,Můstek,"A,B",1,500054,Praha 1,1,3,1,1,0,0,15,20,36170
2728,,,0,500054,Praha 1,1,3,3,0,0,0,55,60,N
11131,Hradčanská,A,0,500054,Praha 1,1,6,1,0,0,0,60,65,N
265400,Staroměstská,A,1,500054,Praha 1,1,3,1,1,0,0,55,60,N
271100,,,1,500054,Praha 1,1,3,1,1,0,0,40,45,N
11909,,,0,500054,Praha 1,1,1,1,1,0,0,55,60,N
388300,Můstek,"A,B",1,500054,Praha 1,1,5,1,1,0,0,5,10,41650
267700,,,1,500054,Praha 1,1,3,1,1,0,0,55,60,27220
269600,Můstek,"A,B",1,500054,Praha 1,1,3,1,1,0,0,0,5,55810
269805,Můstek,"A,B",1,500054,Praha 1,1,3,1,0,0,0,0,5,49970
264500,,,1,500054,Praha 1,1,1,1,0,0,0,30,35,N
269900,Můstek,B,1,500054,Praha 1,1,2,1,0,0,0,55,60,56470
265600,Malostranská,A,1,500054,Praha 1,1,3,1,1,0,0,55,60,41150
269000,Staroměstská,A,1,500054,Praha 1,1,1,1,0,0,0,55,60,N
261900,,,1,500054,Praha 1,1,3,1,1,0,0,55,60,N
264613,,,1,500054,Praha 1,1,3,1,1,0,0,20,25,N
263900,,,1,500054,Praha 1,1,2,1,0,0,0,55,60,N
253100,,,1,500054,Praha 1,1,1,1,0,0,0,55,60,N
264600,,,1,500054,Praha 1,1,3,1,0,0,0,0,5,30610
