OBJECTID,TARGET_FID,KOD_UNI,UZEL_NAZEV,VEST_NAZEV,VST_POPIS,POSKYT,VST_LINKA,VST_NAZEV,UZEL_CISLO,VST_KOD,VEST_KOD,VST_MIM_OD,VST_MIM_DO,VST_SCHOD,VST_ESKAL,VST_VYTAH,BUFF_DIST
1,0,11,,,,,,,,,,,,,,,
2,1,10921,,,,,,,,,,,,,,,
3,2,10849,,,,,,,,,,,,,,,
4,3,12,,,,,,,,,,,,,,,
5,4,13,,,,,,,,,,,,,,,
6,5,10,,,,,,,,,,,,,,,
7,6,10848,,,,,,,,,,,,,,,
8,7,10312,,,,,,,,,,,,,,,
9,8,30,,,,,,,,,,,,,,,
10,9,14,,,,,,,,,,,,,,,
11,10,10970,,,,,,,,,,,,,,,
12,11,10890,,,,,,,,,,,,,,,
13,12,16,,,,,,,,,,,,,,,
14,13,17,,,,,,,,,,,,,,,
15,14,10314,,,,,,,,,,,,,,,
16,15,18,,,,,,,,,,,,,,,
17,16,19,,,,,,,,,,,,,,,
18,17,10842,,,,,,,,,,,,,,,
19,18,20,,,,,,,,,,,,,,,
20,19,21,,,,,,,,,,,,,,,
21,20,22,,,,,,,,,,,,,,,
22,21,25,,,,,,,,,,,,,,,
23,22,10315,,,,,,,,,,,,,,,
24,23,33,,,,,,,,,,,,,,,
25,24,32,,,,,,,,,,,,,,,
26,25,23,,,,,,,,,,,,,,,
27,26,34,,,,,,,,,,,,,,,
28,27,24,,,,,,,,,,,,,,,
29,28,26,,,,,,,,,,,,,,,
30,29,35,,,,,,,,,,,,,,,
31,30,36,,,,,,,,,,,,,,,
32,31,38,,,,,,,,,,,,,,,
33,32,37,,,,,,,,,,,,,,,
34,33,27,,,,,,,,,,,,,,,
35,34,29,,,,,,,,,,,,,,,
36,35,10920,,,,,,,,,,,,,,,
37,36,39,,,,,,,,,,,,,,,
38,37,10885,,,,,,,,,,,,,,,
39,38,10850,,,,,,,,,,,,,,,
40,39,10307,,,,,,,,,,,,,,,
41,40,42,,,,,,,,,,,,,,,
42,41,45,,,,,,,,,,,,,,,
43,42,10851,,,,,,,,,,,,,,,
44,43,46,,,,,,,,,,,,,,,
45,44,235,,,,,,,,,,,,,,,
46,45,10164,,,,,,,,,,,,,,,
47,46,48,,,,,,,,,,,,,,,
48,47,10163,,,,,,,,,,,,,,,
49,48,55,,,,,,,,,,,,,,,
50,49,47,,,,,,,,,,,,,,,
51,50,54,,,,,,,,,,,,,,,
52,51,8,,,,,,,,,,,,,,,
53,52,10173,,,,,,,,,,,,,,,
54,53,50,,,,,,,,,,,,,,,
55,54,53,,,,,,,,,,,,,,,
56,55,10724,,,,,,,,,,,,,,,
57,56,10886,,,,,,,,,,,,,,,
58,57,49,,,,,,,,,,,,,,,
59,58,1,,,,,,,,,,,,,,,
60,59,7,,,,,,,,,,,,,,,
61,60,6,,,,,,,,,,,,,,,
62,61,10336,,,,,,,,,,,,,,,
63,62,10723,,,,,,,,,,,,,,,
64,63,10335,,,,,,,,,,,,,,,
65,64,57,,,,,,,,,,,,,,,
66,65,66,,,,,,,,,,,,,,,
67,66,2,,,,,,,,,,,,,,,
68,67,356,,,,,,,,,,,,,,,
69,68,67,,,,,,,,,,,,,,,
70,69,184,,,,,,,,,,,,,,,
71,70,234,,,,,,,,,,,,,,,
72,71,355,,,,,,,,,,,,,,,
73,72,181,,,,,,,,,,,,,,,
74,73,183,,,,,,,,,,,,,,,
75,74,179,,,,,,,,,,,,,,,
76,75,146,,,,,,,,,,,,,,,
77,76,10000,,,,,,,,,,,,,,,
78,77,358,,,,,,,,,,,,,,,
79,78,359,,,,,,,,,,,,,,,
80,79,70,,,,,,,,,,,,,,,
81,80,182,,,,,,,,,,,,,,,
82,81,186,,,,,,,,,,,,,,,
83,82,237,,,,,,,,,,,,,,,
84,83,178,,,,,,,,,,,,,,,
85,84,367,,,,,,,,,,,,,,,
86,85,10731,,,,,,,,,,,,,,,
87,86,152,,,,,,,,,,,,,,,
88,87,368,,,,,,,,,,,,,,,
89,88,71,,,,,,,,,,,,,,,
90,89,10892,,,,,,,,,,,,,,,
91,90,68,,,,,,,,,,,,,,,
92,91,187,,,,,,,,,,,,,,,
93,92,10858,,,,,,,,,,,,,,,
94,93,147,,,,,,,,,,,,,,,
95,94,73,,,,,,,,,,,,,,,
96,95,360,,,,,,,,,,,,,,,
97,96,10059,,,,,,,,,,,,,,,
98,97,69,,,,,,,,,,,,,,,
99,98,10725,,,,,,,,,,,,,,,
100,99,148,,,,,,,,,,,,,,,
101,100,11141,,,,,,,,,,,,,,,
102,101,357,,,,,,,,,,,,,,,
103,102,365,,,,,,,,,,,,,,,
104,103,11017,,,,,,,,,,,,,,,
105,104,284,,,,,,,,,,,,,,,
106,105,366,,,,,,,,,,,,,,,
107,106,10004,,,,,,,,,,,,,,,
108,107,150,,,,,,,,,,,,,,,
109,108,11143,,,,,,,,,,,,,,,
110,109,364,,,,,,,,,,,,,,,
111,110,189,,,,,,,,,,,,,,,
112,111,81,,,,,,,,,,,,,,,
113,112,11140,,,,,,,,,,,,,,,
114,113,374,,,,,,,,,,,,,,,
115,114,80,,,,,,,,,,,,,,,
116,115,77,,,,,,,,,,,,,,,
117,116,370,,,,,,,,,,,,,,,
118,117,83,,,,,,,,,,,,,,,
119,118,78,,,,,,,,,,,,,,,
120,119,290,,,,,,,,,,,,,,,
121,120,10401,,,,,,,,,,,,,,,
122,121,79,,,,,,,,,,,,,,,
123,122,190,,,,,,,,,,,,,,,
124,123,372,,,,,,,,,,,,,,,
125,124,194,,,,,,,,,,,,,,,
126,125,238,,,,,,,,,,,,,,,
127,126,191,,,,,,,,,,,,,,,
128,127,82,,,,,,,,,,,,,,,
129,128,375,,,,,,,,,,,,,,,
130,129,371,,,,,,,,,,,,,,,
131,130,302,,,,,,,,,,,,,,,
132,131,362,,,,,,,,,,,,,,,
133,132,361,,,,,,,,,,,,,,,
134,133,151,,,,,,,,,,,,,,,
135,134,11139,,,,,,,,,,,,,,,
136,135,300,,,,,,,,,,,,,,,
137,136,289,,,,,,,,,,,,,,,
138,137,196,,,,,,,,,,,,,,,
139,138,363,,,,,,,,,,,,,,,
140,139,295,,,,,,,,,,,,,,,
141,140,10927,,,,,,,,,,,,,,,
142,141,119,,,,,,,,,,,,,,,
143,142,286,,,,,,,,,,,,,,,
144,143,11138,,,,,,,,,,,,,,,
145,144,373,,,,,,,,,,,,,,,
146,145,10187,,,,,,,,,,,,,,,
147,146,10304,,,,,,,,,,,,,,,
148,147,10001,,,,,,,,,,,,,,,
149,148,10002,,,,,,,,,,,,,,,
150,149,193,,,,,,,,,,,,,,,
151,150,379,,,,,,,,,,,,,,,
152,151,288,,,,,,,,,,,,,,,
153,152,369,,,,,,,,,,,,,,,
154,153,310,,,,,,,,,,,,,,,
155,154,301,,,,,,,,,,,,,,,
156,155,120,,,,,,,,,,,,,,,
157,156,320,,,,,,,,,,,,,,,
158,157,84,,,,,,,,,,,,,,,
