TARGET_FID,KOD_UNI,MAPA,STRED,CENA,FUNKCE,TYP_CENY,zmena,DAT_VZNIK,DAT_ZMENA,ID,KOD_MC,NAZEV_MC,KOD_MO,POSKYT,ID_POSKYT,STAV_ZMENA,NAZEV_1,TARGET_FID_1,KOD_UNI_1,TYP,PO__ET_POD,ST__ECHA,PO__ET_P_1,PO__ET_P_2,NOVA_BUDOV,KOD_UNI_2,DB_LO,DB_HI
7344,6896,101,0,8780,R1,181920-pary,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7344,6896,1,1,3,0,0,0,6896,25,30
7372,14303,101,0,8780,R1,181920-primy,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7372,14303,5,2,1,0,0,0,14303,25,30
7402,14729,101,0,8780,R1,181920-pary,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7402,14729,5,1,1,0,0,0,14729,25,30
8429,6894,101,0,7640,R2,vysl-filtr,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,8429,6894,5,1,3,0,0,0,6894,25,30
7681,7517,114,0,2630,O,181920-primy,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7681,7517,3,1,3,0,0,0,7517,30,35
7694,7519,115,0,N,F,vysl-filtr,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7694,7519,,,,,,,7519,30,35
7707,7508,114,0,4760,R2,vysl-filtr,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7707,7508,1,2,1,0,0,0,7508,30,35
7717,7518,115,0,N,F,vysl-filtr,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7717,7518,,,,,,,7518,30,35
7729,7520,115,0,2420,G,vysl-filtr,4,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7729,7520,1,1,1,0,0,0,7520,30,35
7743,7521,115,0,4760,DR3,vysl-filtr,4,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7743,7521,3,1,3,0,0,0,7521,30,35
7750,7525,115,0,6510,R1,181920-primy,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7750,7525,5,1,1,0,0,0,7525,30,35
7761,7438,112,0,N,R2,vysl-filtr,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7761,7438,1,1,1,0,0,0,7438,30,35
7763,7522,115,0,4760,R3,vysl-filtr,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7763,7522,3,1,3,0,0,0,7522,30,35
7773,7526,115,0,4760,R2,vysl-filtr,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7773,7526,1,2,1,0,0,0,7526,30,35
7786,7527,115,0,6510,R1,181920-pary,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7786,7527,1,1,3,0,0,0,7527,30,35
7805,7523,115,0,2630,F,vysl-filtr,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7805,7523,1,2,1,0,0,0,7523,30,35
7819,7529,115,0,N,J,vysl-filtr,35,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7819,7529,5,1,1,0,0,0,7529,30,35
7824,7530,115,0,6510,R1,181920-pary,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7824,7530,,,,,,,7530,30,35
8040,7710,125,0,5260,R1,181920-pary,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,8040,7710,5,2,1,0,0,0,7710,30,35
9362,20329,115,0,N,B1,vysl-filtr,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,9362,20329,,,,,,,20329,30,35
9426,20332,112,0,8780,R1,nic,1,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,9426,20332,,,,,,,20332,30,35
7032,6885,101,0,N,R3,vysl-filtr,4,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7032,6885,,,,,,,6885,35,40
7230,6891,101,0,7640,R2,vysl-filtr,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7230,6891,5,1,3,0,0,0,6891,35,40
7256,6893,101,0,5430,R2,vysl-filtr,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7256,6893,,,,,,,6893,35,40
7629,12111,106,0,7470,R2,181920-pary,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7629,12111,1,3,3,0,0,0,12111,35,40
7642,7034,106,0,7470,R1,181920-pary,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7642,7034,5,1,1,1,0,1,7034,35,40
7110,14565,101,0,8780,R1,181920-primy,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7110,14565,5,1,1,0,0,1,14565,40,45
7248,6889,101,0,N,F,vysl-filtr,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7248,6889,5,1,1,0,0,0,6889,40,45
7270,6888,101,0,1400,N,vysl-filtr,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7270,6888,1,1,1,1,0,0,6888,40,45
7278,6335,95,0,6440,R2,181920-pary,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7278,6335,5,2,1,1,0,0,6335,40,45
7287,6892,101,0,7640,R2,vysl-filtr,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7287,6892,1,1,3,0,0,0,6892,40,45
7331,14131,101,0,8780,R1,181920-primy,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7331,14131,1,1,3,0,0,0,14131,40,45
7655,7516,115,0,N,K,vysl-filtr,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7655,7516,,,,,,,7516,40,45
7704,7437,112,0,2640,O,vysl-filtr,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7704,7437,1,1,1,0,0,0,7437,40,45
7754,7524,115,0,3760,B1,181920-pary,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,7754,7524,,,,,,,7524,40,45
9169,20202,101,0,6200,F,181920-pary,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,9169,20202,1,1,3,0,0,0,20202,40,45
9350,20325,101,0,7510,R1,181920-pary,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,9350,20325,,,,,,,20325,40,45
7217,14566,101,0,8780,R1,181920-pary,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7217,14566,5,1,3,1,0,0,14566,45,50
7304,6898,101,0,7640,R2,vysl-filtr,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7304,6898,5,1,1,0,0,0,6898,45,50
7350,6336,95,0,6440,R2,181920-primy,4,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7350,6336,1,1,3,0,0,1,6336,45,50
7399,12450,95,0,N,M,vysl-filtr,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7399,12450,5,1,1,1,0,0,12450,45,50
7411,17024,95,0,6800,B1,181920-pary,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7411,17024,1,1,1,0,0,0,17024,45,50
7418,12367,95,0,6440,R2,181920-pary,4,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7418,12367,5,2,1,0,0,0,12367,45,50
7422,6342,95,0,N,F,vysl-filtr,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7422,6342,5,1,1,1,0,0,6342,45,50
7423,12130,95,0,N,M,vysl-filtr,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7423,12130,1,1,1,0,0,0,12130,45,50
7425,12131,95,0,N,R3,vysl-filtr,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7425,12131,3,1,1,0,0,0,12131,45,50
7427,12366,95,0,N,M,vysl-filtr,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7427,12366,3,1,1,0,0,0,12366,45,50
7429,12129,95,0,N,J,vysl-filtr,4,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7429,12129,3,1,1,0,0,0,12129,45,50
7440,12132,95,0,N,M,vysl-filtr,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7440,12132,5,1,1,0,0,0,12132,45,50
7457,12632,95,0,6440,R2,181920-pary,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7457,12632,1,2,1,0,0,0,12632,45,50
7478,6340,95,0,5630,B2,181920-pary,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7478,6340,3,1,1,0,0,0,6340,45,50
7589,7040,106,0,3330,R3,181920-pary,5,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7589,7040,,,,,,,7040,45,50
7604,7033,106,0,7470,R3,181920-pary,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7604,7033,1,1,1,1,0,0,7033,45,50
8628,6341,95,0,N,F,vysl-filtr,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,8628,6341,1,3,1,0,0,0,6341,45,50
9261,20308,112,0,5610,E,vysl-filtr,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,9261,20308,,,,,,,20308,45,50
7267,6895,101,0,N,CB1,vysl-filtr,0,2018-06-13 00:00:00.000000 UTC,2020-07-07 00:00:00.000000 UTC,49,538400,Praha-Křeslice,108,HMP-IPR,43,U,Křeslice,7267,6895,1,1,1,0,0,0,6895,55,60
7309,6338,95,0,6440,R3,181920-primy,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7309,6338,1,1,1,0,0,0,6338,55,60
7384,6337,95,0,N,H,vysl-filtr,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7384,6337,5,1,1,1,0,0,6337,55,60
7397,12358,95,0,N,K,vysl-filtr,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7397,12358,,,,,,,12358,55,60
7714,12115,106,0,6970,R2,181920-pary,0,2017-11-10 00:00:00.000000 UTC,2019-11-05 00:00:00.000000 UTC,55,539465,Praha-Lochkov,51,HMP-IPR,43,U,Lochkov,7714,12115,5,2,1,0,0,0,12115,55,60
8541,14921,125,0,5260,F,181920-pary,0,2016-12-19 00:00:00.000000 UTC,2016-12-22 00:00:00.000000 UTC,31,538531,Praha-Nedvězí,108,HMP-IPR,43,U,Nedvězí,8541,14921,5,1,1,0,0,0,14921,55,60
6470,6047,87,0,3660,F,vysl-filtr,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6470,6047,1,1,3,0,0,0,6047,0,5
6489,6050,87,0,7940,E,181920-pary,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6489,6050,3,1,3,0,0,0,6050,0,5
6573,13350,87,0,N,H,vysl-filtr,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6573,13350,,,,,,,13350,0,5
6598,6084,87,0,4320,F,vysl-filtr,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6598,6084,1,11,3,0,0,0,6084,0,5
6644,6076,87,0,7260,F,vysl-filtr,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6644,6076,,,,,,,6076,0,5
6799,6693,99,0,7770,F,181920-pary,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6799,6693,,,,,,,6693,0,5
6811,6789,100,0,7770,F,181920-pary,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6811,6789,1,12,3,0,0,0,6789,0,5
6845,6783,100,0,4320,F,vysl-filtr,5,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6845,6783,1,13,3,0,0,0,6783,0,5
6968,6703,99,0,7770,F,181920-primy,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6968,6703,,,,,,,6703,0,5
6983,6799,100,0,7290,F,181920-pary,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6983,6799,1,5,3,0,0,0,6799,0,5
7092,6835,100,0,N,J,vysl-filtr,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,7092,6835,1,8,3,0,0,0,6835,0,5
6569,6123,88,0,7260,F,vysl-filtr,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6569,6123,1,9,3,0,0,0,6123,5,10
6595,6128,88,0,7260,F,vysl-filtr,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6595,6128,1,12,3,0,0,0,6128,5,10
6754,6146,88,0,N,J,vysl-filtr,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6754,6146,1,1,3,0,0,0,6146,5,10
6828,6786,100,0,11250,F,181920-pary,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6828,6786,3,2,1,1,0,0,6786,5,10
6864,6779,100,0,N,J,vysl-filtr,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6864,6779,1,12,3,0,0,0,6779,5,10
6931,6810,100,0,7770,F,181920-pary,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6931,6810,,,,,,,6810,5,10
6954,6702,99,0,N,J,vysl-filtr,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6954,6702,1,8,3,0,0,0,6702,5,10
6960,6823,100,0,7770,CB1,181920-pary,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6960,6823,,,,,,,6823,5,10
6971,6826,100,0,N,J,vysl-filtr,0,2017-12-04 00:00:00.000000 UTC,2020-06-09 00:00:00.000000 UTC,15,547034,Praha 11,43,HMP-IPR,43,U,Praha 11,6971,6826,1,8,3,0,0,0,6826,5,10
