TARGET_FID,KOD_UNI,MAPA,STRED,CENA,FUNKCE,TYP_CENY,zmena,DAT_VZNIK,DAT_ZMENA,ID,KOD_MC,NAZEV_MC,KOD_MO,POSKYT,ID_POSKYT,STAV_ZMENA,NAZEV_1,OBJECTID,TARGET_FID_1,TYP,PO__ET_POD,ST__ECHA,PO__ET_P_1,PO__ET_P_2,NOVA_BUDOV,KOD_UNI_1,DB_LO,DB_HI
2775,264600,45,1,30610,A2,vysl-filtr,4,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,1733,2775,1,3,1,0,0,0,264600,0,5
2899,284700,46,1,54040,A2,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,1818,2899,1,7,3,0,0,0,284700,55,60
2922,269200,45,1,69870,A1,181920-primy,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,1837,2922,1,4,1,1,0,0,269200,0,5
2927,269300,45,1,49970,A2,181920-primy,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,1842,2927,7,5,1,0,0,0,269300,5,10
2963,265600,45,1,41150,A2,181920-pary,4,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,1870,2963,1,3,1,1,0,0,265600,55,60
3120,271600,45,1,49970,A2,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,1996,3120,1,3,1,0,0,0,271600,55,60
3157,269500,45,1,55810,A2,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,2022,3157,1,4,1,1,0,0,269500,0,5
3199,270000,45,1,69870,A1,181920-primy,4,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,2049,3199,1,7,3,0,0,0,270000,0,5
3297,269800,45,1,49970,A2,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,2117,3297,1,3,1,0,0,0,269800,5,10
3299,285700,46,1,48890,A2,vysl-filtr,4,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,2118,3299,1,3,1,0,0,0,285700,0,5
3342,269600,45,1,55810,A2,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,2151,3342,1,3,1,1,0,0,269600,0,5
3433,269805,45,1,49970,A2,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,2211,3433,1,3,1,0,0,0,269805,0,5
3435,269900,45,1,56470,A2,vysl-filtr,0,2018-09-10 00:00:00.000000 UTC,2018-09-10 00:00:00.000000 UTC,43,500054,Praha 1,19,HMP-IPR,43,U,Praha 1,2213,3435,1,2,1,0,0,0,269900,55,60
